"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Nov 16 11:40:39 GMT 2021","Tue Nov 16 11:40:39 GMT 2021","0","","","","","","Search result tweak",""
"passed","Tue Nov 16 11:39:34 GMT 2021","Tue Nov 16 11:39:35 GMT 2021","1661","","Analytics - events tracking","","","","Event on link click",""
"skipped","Tue Nov 16 11:40:39 GMT 2021","Tue Nov 16 11:40:39 GMT 2021","2","","","","","","Unilever",""
"passed","Tue Nov 16 11:40:39 GMT 2021","Tue Nov 16 11:40:47 GMT 2021","7688","","","","","","Percy CSS",""
"failed","Tue Nov 16 11:39:24 GMT 2021","Tue Nov 16 11:39:34 GMT 2021","9735","","Analytics - events tracking","","","","View event on page load",""
