"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 16 11:47:54 GMT 2021","Tue Nov 16 11:48:04 GMT 2021","10095","","Analytics - events tracking","","","","View event on page load",""
"passed","Tue Nov 16 11:48:05 GMT 2021","Tue Nov 16 11:48:07 GMT 2021","2379","","Analytics - events tracking","","","","Event on link click",""
