"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 16 14:04:20 GMT 2021","Tue Nov 16 14:04:23 GMT 2021","2802","","Analytics - events tracking","","","","Event on link click",""
"failed","Tue Nov 16 14:04:10 GMT 2021","Tue Nov 16 14:04:20 GMT 2021","10198","","Analytics - events tracking","","","","View event on page load",""
