"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 16 13:53:09 GMT 2021","Tue Nov 16 13:53:21 GMT 2021","11629","","Analytics - events tracking","","","","View event on page load",""
"passed","Tue Nov 16 13:53:21 GMT 2021","Tue Nov 16 13:53:23 GMT 2021","2360","","Analytics - events tracking","","","","Event on link click",""
